Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1094,80,RL,108.0,9230,Pave,Pave,IR1,HLS,AllPub,Corner,Gtl,Blueste,RRAn,Norm,1Fam,SLvl,9,8,1985,1985,Gambrel,WdShngl,CemntBd,Other,Stone,166.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,661,GLQ,634,1393,1393,GasW,Ex,Y,SBrkr,1482,1177,360,2599,1,1,2,1,4,1,Ex,10,Min1,1,Gd,BuiltIn,2010.0,Fin,3,884,Ex,Gd,P,668,95,224,162,155,0,,MnWw,Shed,2000,12,2009,New,Partial,333168
1314,80,RL,118.0,14774,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1993,2010,Gambrel,CompShg,CemntBd,CmentBd,Stone,165.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,871,BLQ,177,82,2223,GasA,Ex,Y,SBrkr,2223,780,572,2262,1,1,2,1,4,1,Ex,10,Min1,1,Gd,BuiltIn,2010.0,Fin,3,749,Gd,TA,Y,468,81,240,407,198,0,,MnWw,Shed,500,9,2009,New,Partial,305000
620,80,RL,103.0,12244,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1993,2010,Mansard,CompShg,VinylSd,VinylSd,Stone,226.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,1880,BLQ,117,1541,868,GasA,Ex,Y,SBrkr,1146,1215,0,2223,1,1,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1924.0,Fin,3,843,Gd,TA,Y,84,81,275,180,122,0,,MnWw,Shed,480,12,2008,New,Partial,244000
71,85,RL,101.0,13651,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1928,2010,Hip,CompShg,VinylSd,BrkFace,Stone,1115.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1646,BLQ,193,397,1930,GasA,Ex,Y,SBrkr,1541,850,0,1146,1,1,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1948.0,Fin,3,833,TA,TA,Y,416,16,156,196,273,0,,MnWw,Shed,700,12,2009,New,Partial,395192
732,85,RL,,9590,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,9,1995,1988,Hip,CompShg,VinylSd,VinylSd,Stone,442.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,380,BLQ,28,398,1541,GasA,Ex,Y,SBrkr,1065,653,0,1940,1,0,2,1,4,1,Ex,9,Min2,1,Gd,BuiltIn,1993.0,Fin,3,701,TA,TA,Y,64,52,242,0,119,0,,GdPrv,Shed,600,9,2008,New,Partial,175900
988,80,RL,44.0,10159,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,RRAn,Norm,1Fam,2Story,9,5,1993,1993,Hip,CompShg,CemntBd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,988,GLQ,117,422,1386,GasA,Ex,Y,SBrkr,1569,800,0,1541,1,0,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,2010.0,Fin,3,458,TA,TA,Y,305,110,230,0,189,0,,MnWw,Shed,1150,9,2009,New,Partial,238000
303,60,RL,93.0,13704,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Artery,Norm,1Fam,2Story,9,5,2010,1966,Hip,CompShg,BrkFace,VinylSd,Stone,150.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,48,Unf,612,1048,1104,GasA,Ex,Y,SBrkr,2196,564,0,1911,1,0,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1993.0,Fin,3,758,TA,TA,Y,241,189,192,0,198,0,,MnPrv,Shed,2500,9,2008,New,Partial,265900
507,60,RL,104.0,9554,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,RRAn,Norm,1Fam,2Story,9,5,1993,1999,Hip,CompShg,VinylSd,VinylSd,Stone,130.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,485,Unf,117,1258,1476,GasA,Ex,Y,SBrkr,1127,1122,0,1569,1,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,1925.0,Fin,3,296,TA,TA,Y,416,53,84,0,480,0,,GdPrv,Shed,400,8,2007,New,Partial,271900
1416,60,RL,107.0,3635,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1966,1993,Mansard,CompShg,VinylSd,CmentBd,Stone,32.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1040,Unf,539,352,1258,GasA,Ex,Y,SBrkr,1563,1362,0,2127,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Basment,2008.0,Fin,3,530,TA,TA,Y,468,144,386,0,120,0,,MnPrv,Shed,600,12,2007,New,Partial,245000
919,60,RL,118.0,13125,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1964,1980,Hip,CompShg,VinylSd,VinylSd,Stone,234.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,33,Unf,208,374,2158,GasA,Ex,Y,SBrkr,1431,755,0,2196,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,1966.0,Fin,3,772,TA,TA,Y,160,84,112,0,204,0,,GdPrv,Shed,500,8,2009,New,Partial,138500
